Ürün Adı,Fiyat,Ekran Boyutu,Dahili Depolama,Bellek (RAM),Batarya Kapasitesi,Teknik Puan,Link
Casper VIA V10,,4.8 İnç,16 GB,2 GB,2000 mAh,22.0,https://www.epey.com/akilli-telefonlar/casper-via-v10.html
Samsung Galaxy S4 Zoom,,4.3 İnç,8 GB,1.5 GB,2330 mAh,22.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s4-zoom.html
Samsung Galaxy A2 Core,1859.04,5.0 İnç,16 GB,1 GB,2600 mAh,22.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a2-core.html
Samsung Galaxy A2 Core,,5.0 İnç,16 GB,1 GB,2600 mAh,22.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a2-core-dual.html
Samsung Galaxy J3 (2016),,5.0 İnç,8 GB,1.5 GB,2600 mAh,22.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j3-2016.html
Apple iPhone 4s,,3.5 İnç,64 GB,512 MB,1432 mAh,22.0,https://www.epey.com/akilli-telefonlar/apple-iphone-4s-64gb.html
Asus ZenFone 6 (A601CG),,6.0 İnç,16 GB,2 GB,3300 mAh,22.0,https://www.epey.com/akilli-telefonlar/asus-zenfone-6.html
Samsung Galaxy On7,,5.5 İnç,8 GB,1.5 GB,3000 mAh,22.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-on7.html
Asus ZenFone 6 (A600CG),,6.0 İnç,16 GB,2 GB,3300 mAh,22.0,https://www.epey.com/akilli-telefonlar/asus-zenfone-6-a600cg.html
Samsung Galaxy Mega 6.3,,6.3 İnç,8 GB,1.5 GB,3200 mAh,22.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-mega.html
Casper VIA E1,,5.0 İnç,16 GB,2 GB,2500 mAh,22.0,https://www.epey.com/akilli-telefonlar/casper-via-e1.html
Oxiron X4,,5.0 İnç,16 GB,2 GB,2000 mAh,22.0,https://www.epey.com/akilli-telefonlar/oxiron-x4.html
HTC One X+,,4.7 İnç,32 GB,1 GB,2100 mAh,22.0,https://www.epey.com/akilli-telefonlar/htc-one-x-plus.html
Samsung Galaxy J3 (2016),,5.0 İnç,8 GB,1.5 GB,2600 mAh,22.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j3-2016-sm-j320f-ds.html
EvoBT RS6,,5.0 İnç,16 GB,1 GB,2100 mAh,22.0,https://www.epey.com/akilli-telefonlar/evobt-rs6.html
Samsung Galaxy S4 Mini,,4.3 İnç,8 GB,1.5 GB,1900 mAh,22.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s4-mini-4g.html
Casper VIA V6x,,5.5 İnç,16 GB,2 GB,2850 mAh,22.0,https://www.epey.com/akilli-telefonlar/casper-via-v6x.html
Apple iPhone 5,,4.0 İnç,32 GB,1 GB,1440 mAh,22.0,https://www.epey.com/akilli-telefonlar/apple-iphone-5-32gb.html
Samsung Galaxy S4 Mini Plus,,4.3 İnç,8 GB,1.5 GB,1900 mAh,22.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s4-mini-plus.html
LG band Play,,5.0 İnç,16 GB,2 GB,2300 mAh,22.0,https://www.epey.com/akilli-telefonlar/lg-band-play.html
Samsung Galaxy S3 Neo,,4.8 İnç,16 GB,1.5 GB,2100 mAh,22.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s3-neo.html
Reeder P8,,5.5 İnç,16 GB,2 GB,2300 mAh,22.0,https://www.epey.com/akilli-telefonlar/reeder-p8.html
Samsung Galaxy Grand Max,,5.25 İnç,16 GB,1.5 GB,2500 mAh,22.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-grand-max.html
Sony Xperia T2 Ultra,,6.0 İnç,8 GB,1 GB,3000 mAh,22.0,https://www.epey.com/akilli-telefonlar/sony-xperia-t2-ultra.html
Huawei Y5 2017,,5.0 İnç,16 GB,2 GB,3000 mAh,22.0,https://www.epey.com/akilli-telefonlar/huawei-y5-2017.html
Apple iPhone 5c,,4.0 İnç,32 GB,1 GB,1510 mAh,22.0,https://www.epey.com/akilli-telefonlar/apple-iphone-5c-32gb.html
BlackBerry Q10,,3.1 İnç,16 GB,2 GB,2100 mAh,22.0,https://www.epey.com/akilli-telefonlar/blackberry-q10.html
General Mobile Discovery Air,,4.8 İnç,16 GB,2 GB,2050 mAh,21.0,https://www.epey.com/akilli-telefonlar/general-mobile-discovery-air-2gb.html
LG AKA,,5.0 İnç,16 GB,1.5 GB,2540 mAh,21.0,https://www.epey.com/akilli-telefonlar/lg-aka.html
Vestel Venus 5.5 X,,5.5 İnç,16 GB,1 GB,2000 mAh,21.0,https://www.epey.com/akilli-telefonlar/vestel-venus-55-x.html
HTC One X,,4.7 İnç,32 GB,1 GB,1800 mAh,21.0,https://www.epey.com/akilli-telefonlar/htc-one-x-32gb.html
Fly Tornado IQ4511,,5.0 İnç,16 GB,2 GB,2000 mAh,21.0,https://www.epey.com/akilli-telefonlar/fly-tornado-iq4511.html
HTC Desire 530,,5.0 İnç,16 GB,1.5 GB,2200 mAh,21.0,https://www.epey.com/akilli-telefonlar/htc-desire-530.html
Xiaomi Redmi Go,2122.04,5.0 İnç,8 GB,1 GB,3000 mAh,21.0,https://www.epey.com/akilli-telefonlar/redmi-go.html
Sony Xperia T2 Ultra Dual,,6.0 İnç,8 GB,1 GB,3000 mAh,21.0,https://www.epey.com/akilli-telefonlar/sony-xperia-t2-ultra-dual.html
Casper VIA V6,,5.0 İnç,16 GB,2 GB,2400 mAh,21.0,https://www.epey.com/akilli-telefonlar/casper-via-v6.html
Samsung Galaxy J3 (2016),,5.0 İnç,8 GB,1.5 GB,2600 mAh,21.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j3-2016-sm-j320h.html
Vestel Venus 5.5 V,,5.5 İnç,16 GB,1 GB,2000 mAh,21.0,https://www.epey.com/akilli-telefonlar/vestel-venus-5-5-v.html
Vodafone Smart Style 7,,5.0 İnç,8 GB,1 GB,2540 mAh,21.0,https://www.epey.com/akilli-telefonlar/vodafone-smart-style-7.html
Reeder P10C,,5.0 İnç,16 GB,1 GB,2400 mAh,21.0,https://www.epey.com/akilli-telefonlar/reeder-p10c.html
LG G4 Stylus,,5.7 İnç,8 GB,1 GB,3000 mAh,21.0,https://www.epey.com/akilli-telefonlar/lg-g4-stylus-3g.html
Lenovo A7000,,5.5 İnç,8 GB,2 GB,2900 mAh,21.0,https://www.epey.com/akilli-telefonlar/lenovo-a7000.html
Samsung Galaxy J2 (2016),,5.0 İnç,8 GB,1.5 GB,2600 mAh,21.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j2-2016.html
Alcatel A3,1399.0,5.0 İnç,16 GB,1.5 GB,2460 mAh,21.0,https://www.epey.com/akilli-telefonlar/alcatel-a3.html
LG G4 Stylus,,5.7 İnç,8 GB,1 GB,3000 mAh,21.0,https://www.epey.com/akilli-telefonlar/lg-g4-stylus-h540.html
Reeder P10SE,,5.0 İnç,16 GB,3 GB,2400 mAh,21.0,https://www.epey.com/akilli-telefonlar/reeder-p10se.html
Samsung Galaxy On7,,5.5 İnç,8 GB,1.5 GB,3000 mAh,21.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-on7-duos.html
Apple iPhone 5s,,4.0 İnç,16 GB,1 GB,1560 mAh,21.0,https://www.epey.com/akilli-telefonlar/apple-iphone-5s.html
HTC Desire 816G,,5.5 İnç,8 GB,1 GB,2600 mAh,21.0,https://www.epey.com/akilli-telefonlar/htc-desire-816g.html
Alcatel One Touch Idol X,,5.0 İnç,8 GB,2 GB,2000 mAh,21.0,https://www.epey.com/akilli-telefonlar/alcatel-one-touch-idol-x.html
Vestel Venus V3 5020,,5.0 İnç,16 GB,1 GB,3140 mAh,21.0,https://www.epey.com/akilli-telefonlar/vestel-venus-v3-5020.html
Victor U2,,5.5 İnç,16 GB,2 GB,3100 mAh,21.0,https://www.epey.com/akilli-telefonlar/victor-u2.html
Sony Xperia T3,,5.3 İnç,8 GB,1 GB,2500 mAh,21.0,https://www.epey.com/akilli-telefonlar/sony-xperia-t3-d5103.html
Samsung Galaxy S3 Neo (Duos),,4.8 İnç,16 GB,1.5 GB,2100 mAh,21.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s3-neo-gt-i9300i.html
Samsung Galaxy A3,,4.5 İnç,16 GB,1 GB,1900 mAh,21.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a3.html
LG K20,1655.39,5.45 İnç,16 GB,1 GB,3000 mAh,21.0,https://www.epey.com/akilli-telefonlar/lg-k20.html
Sony Xperia S,,4.3 İnç,32 GB,1 GB,1750 mAh,21.0,https://www.epey.com/akilli-telefonlar/sony-xperia-s.html
Sunny SS4G7 Sole,,5.0 İnç,16 GB,2 GB,2000 mAh,21.0,https://www.epey.com/akilli-telefonlar/sunny-ss4g7-sole.html
Huawei Honor 4X,,5.5 İnç,8 GB,2 GB,3000 mAh,21.0,https://www.epey.com/akilli-telefonlar/huawei-honor-4x.html
Sunny SS70,,5.0 İnç,16 GB,2 GB,2100 mAh,21.0,https://www.epey.com/akilli-telefonlar/sunny-ss70.html
General Mobile Discovery Air,,4.8 İnç,16 GB,1 GB,2050 mAh,21.0,https://www.epey.com/akilli-telefonlar/general-mobile-discovery-air.html
Sunny SS4G1 Luna,,5.0 İnç,16 GB,1 GB,4000 mAh,21.0,https://www.epey.com/akilli-telefonlar/sunny-ss4g1-luna.html
BlackBerry Classic,1790.0,3.46 İnç,16 GB,2 GB,2515 mAh,21.0,https://www.epey.com/akilli-telefonlar/blackberry-classic.html
Piranha IQ Smart,,5.0 İnç,16 GB,2 GB,2300 mAh,21.0,https://www.epey.com/akilli-telefonlar/piranha-iq-smart.html
LG X max,,5.5 İnç,16 GB,1.5 GB,2800 mAh,21.0,https://www.epey.com/akilli-telefonlar/lg-x-max.html
Samsung Galaxy A3 Duos,,4.5 İnç,16 GB,1 GB,1900 mAh,21.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a3-sm-a300h.html
Samsung Galaxy J2 Core,,5.0 İnç,8 GB,1 GB,2600 mAh,21.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j2-core.html
Samsung Galaxy J2 Core,,5.0 İnç,8 GB,1 GB,2600 mAh,21.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j2-core-duos.html
Quatro M1453 Gold Edition,,5.0 İnç,16 GB,2 GB,2100 mAh,21.0,https://www.epey.com/akilli-telefonlar/quatro-mobile-m1453-gold-editon.html
Prestigio MultiPhone 7500,,5.0 İnç,16 GB,1 GB,2300 mAh,21.0,https://www.epey.com/akilli-telefonlar/prestigio-multiphone-7500.html
LG Ray,,5.5 İnç,16 GB,1 GB,3000 mAh,21.0,https://www.epey.com/akilli-telefonlar/lg-ray.html
Excon ERA K5,,5.0 İnç,16 GB,1 GB,2250 mAh,20.0,https://www.epey.com/akilli-telefonlar/excon-era-k5.html
Doogee Dagger DG550,,5.5 İnç,16 GB,1 GB,2600 mAh,20.0,https://www.epey.com/akilli-telefonlar/doogee-dagger-dg550.html
Asus ZenFone 5 (A501CG),,5.0 İnç,16 GB,2 GB,2110 mAh,20.0,https://www.epey.com/akilli-telefonlar/asus-zenfone-5.html
HTC Desire 620G dual sim,,5.0 İnç,8 GB,1 GB,2100 mAh,20.0,https://www.epey.com/akilli-telefonlar/htc-desire-620g.html
HTC Desire 626G dual sim,,5.0 İnç,8 GB,1 GB,2000 mAh,20.0,https://www.epey.com/akilli-telefonlar/htc-desire-626g-dual-sim.html
Asus ZenFone 5,,5.0 İnç,16 GB,2 GB,2110 mAh,20.0,https://www.epey.com/akilli-telefonlar/asus-zenfone-5-16gb-a500cg-16-gb.html
Casper VIA V5,,5.0 İnç,16 GB,1 GB,2000 mAh,20.0,https://www.epey.com/akilli-telefonlar/casper-via-v5.html
Sunny SS4G6 Lola,1395.0,5.0 İnç,16 GB,2 GB,2000 mAh,20.0,https://www.epey.com/akilli-telefonlar/sunny-ss4g6-lola.html
Vestel Venus 5530 Dual,,5.5 İnç,16 GB,2 GB,2920 mAh,20.0,https://www.epey.com/akilli-telefonlar/vestel-venus-5530-dual.html
Vestel Venus 5530,,5.5 İnç,16 GB,2 GB,2920 mAh,20.0,https://www.epey.com/akilli-telefonlar/vestel-venus-5530.html
Fly Intruder IQ459,,5.0 İnç,16 GB,1 GB,2000 mAh,20.0,https://www.epey.com/akilli-telefonlar/fly-iq459-intruder.html
Philips S318,,5.0 İnç,8 GB,1 GB,2500 mAh,20.0,https://www.epey.com/akilli-telefonlar/philips-s318.html
Fly Intruder IQ4509 X8,,5.0 İnç,16 GB,1 GB,2200 mAh,20.0,https://www.epey.com/akilli-telefonlar/fly-iq4509-intruder-x8.html
Casper VIA E1c,,5.0 İnç,16 GB,1 GB,2500 mAh,19.0,https://www.epey.com/akilli-telefonlar/casper-via-e1c.html
Fluo V Plus,,5.0 İnç,16 GB,2 GB,2150 mAh,19.0,https://www.epey.com/akilli-telefonlar/fluo-v-plus.html
LG G4c,,5.0 İnç,8 GB,1 GB,2540 mAh,19.0,https://www.epey.com/akilli-telefonlar/lg-g4c.html
Samsung Galaxy On5,,5.0 İnç,8 GB,1.5 GB,2600 mAh,19.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-on5.html
Huawei Honor Holly,,5.0 İnç,16 GB,1 GB,2000 mAh,19.0,https://www.epey.com/akilli-telefonlar/huawei-honor-holly.html
HTC Desire 620 dual sim,,5.0 İnç,8 GB,1 GB,2100 mAh,19.0,https://www.epey.com/akilli-telefonlar/htc-desire-620-dual-sim.html
LG Spirit (4G),,4.7 İnç,8 GB,1 GB,2100 mAh,19.0,https://www.epey.com/akilli-telefonlar/lg-spirit-4g.html
Nokia Lumia 1320,,6.0 İnç,8 GB,1 GB,3400 mAh,19.0,https://www.epey.com/akilli-telefonlar/nokia-lumia-1320.html
Vestel Venus 5000,1549.0,5.0 İnç,16 GB,2 GB,2230 mAh,19.0,https://www.epey.com/akilli-telefonlar/vestel-venus-5000.html
Vsun Touch,,5.0 İnç,16 GB,2 GB,2300 mAh,19.0,https://www.epey.com/akilli-telefonlar/vsun-touch.html
Samsung Galaxy Grand 2,,5.2 İnç,8 GB,1.5 GB,2600 mAh,19.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-grand-2-lte.html
Vestel Venus 5000,,5.0 İnç,16 GB,2 GB,2230 mAh,19.0,https://www.epey.com/akilli-telefonlar/vestel-venus-5000-cift-sim.html
Huawei Ascend P6,,4.7 İnç,8 GB,2 GB,2000 mAh,19.0,https://www.epey.com/akilli-telefonlar/huawei-ascend-p6.html
Piranha Grande,,5.7 İnç,16 GB,1 GB,2500 mAh,19.0,https://www.epey.com/akilli-telefonlar/piranha-grande.html
Sony Xperia ion,,4.55 İnç,16 GB,1 GB,1900 mAh,19.0,https://www.epey.com/akilli-telefonlar/sony-xperia-ion.html
Samsung Z3,,5.0 İnç,8 GB,1 GB,2600 mAh,19.0,https://www.epey.com/akilli-telefonlar/samsung-z3.html
Huawei Honor 4C,,5.0 İnç,8 GB,2 GB,2550 mAh,19.0,https://www.epey.com/akilli-telefonlar/huawei-honor-4c.html
ZTE Blade X3,,5.0 İnç,8 GB,1 GB,4000 mAh,19.0,https://www.epey.com/akilli-telefonlar/zte-blade-x3.html
Sony Xperia T3,,5.3 İnç,8 GB,1 GB,2500 mAh,21.0,https://www.epey.com/akilli-telefonlar/sony-xperia-t3.html
Ultron X-1 (3G),,5.0 İnç,16 GB,2 GB,2200 mAh,21.0,https://www.epey.com/akilli-telefonlar/sterk-ultron-x-1.html
Alcatel OneTouch Pop Up,,5.0 İnç,16 GB,2 GB,2000 mAh,21.0,https://www.epey.com/akilli-telefonlar/alcatel-onetouch-pop-up.html
Alcatel U5 HD Premium,,5.0 İnç,16 GB,2 GB,2200 mAh,21.0,https://www.epey.com/akilli-telefonlar/alcatel-u5-hd-premium.html
LG G4 Stylus,,5.7 İnç,8 GB,1 GB,3000 mAh,21.0,https://www.epey.com/akilli-telefonlar/lg-g4-stylus.html
LG G3 Beat,,5.0 İnç,8 GB,1 GB,2540 mAh,21.0,https://www.epey.com/akilli-telefonlar/lg-g3-beat-4g.html
Microsoft Lumia 640 LTE,,5.0 İnç,8 GB,1 GB,2500 mAh,21.0,https://www.epey.com/akilli-telefonlar/microsoft-lumia-640-lte.html
Asus Zenfone Go,,5.0 İnç,16 GB,2 GB,2070 mAh,21.0,https://www.epey.com/akilli-telefonlar/asus-zenfone-go.html
Samsung Galaxy S4 Mini,799.99,4.3 İnç,8 GB,1.5 GB,1900 mAh,20.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s4-mini.html
Vestel Venus E3,1449.9,5.0 İnç,16 GB,2 GB,2500 mAh,20.0,https://www.epey.com/akilli-telefonlar/vestel-venus-e3.html
Sony Xperia C3,,5.5 İnç,8 GB,1 GB,2500 mAh,20.0,https://www.epey.com/akilli-telefonlar/sony-xperia-c3.html
Motorola Moto G (2014),,5.0 İnç,16 GB,1 GB,2070 mAh,20.0,https://www.epey.com/akilli-telefonlar/motorola-moto-g-2014.html
LG G3 Beat,,5.0 İnç,8 GB,1 GB,2540 mAh,20.0,https://www.epey.com/akilli-telefonlar/lg-g3-beat.html
Vestel Venus V3 5040,,5.0 İnç,16 GB,2 GB,2100 mAh,20.0,https://www.epey.com/akilli-telefonlar/vestel-venus-v3-5040-2gb.html
Lenovo A6000 Plus,,5.0 İnç,16 GB,2 GB,2300 mAh,20.0,https://www.epey.com/akilli-telefonlar/lenovo-a6000-plus.html
Casper VIA V8c,,4.7 İnç,16 GB,2 GB,2000 mAh,20.0,https://www.epey.com/akilli-telefonlar/casper-via-v8c.html
Lenovo S60,,5.0 İnç,8 GB,2 GB,2150 mAh,20.0,https://www.epey.com/akilli-telefonlar/lenovo-s60.html
Lenovo A5000,,5.0 İnç,8 GB,1 GB,4000 mAh,20.0,https://www.epey.com/akilli-telefonlar/lenovo-a5000.html
TP-LINK Neffos C5,,5.0 İnç,16 GB,2 GB,2200 mAh,20.0,https://www.epey.com/akilli-telefonlar/tp-link-neffos-c5.html
BB Mobile E2015 Finger,,5.0 İnç,16 GB,2 GB,2000 mAh,20.0,https://www.epey.com/akilli-telefonlar/bb-mobile-e2015-finger.html
Vestel Venus E2 Plus Dual,1199.9,5.0 İnç,16 GB,2 GB,2350 mAh,20.0,https://www.epey.com/akilli-telefonlar/vestel-venus-e2-plus-dual.html
Vestel Venus E2 Plus,,5.0 İnç,16 GB,2 GB,2350 mAh,20.0,https://www.epey.com/akilli-telefonlar/vestel-venus-e2-plus.html
Sony Xperia C3 Dual,,5.5 İnç,8 GB,1 GB,2500 mAh,20.0,https://www.epey.com/akilli-telefonlar/sony-xperia-c3-dual.html
Sunny SS4G8 Nora,1395.0,5.5 İnç,16 GB,2 GB,2200 mAh,20.0,https://www.epey.com/akilli-telefonlar/sunny-ss4g8-nora.html
Doogee Valencia2 Y100 Pro,,5.0 İnç,16 GB,2 GB,2200 mAh,20.0,https://www.epey.com/akilli-telefonlar/doogee-valencia2-y100-pro.html
Alcatel OneTouch Go Play,,5.0 İnç,8 GB,1 GB,2500 mAh,20.0,https://www.epey.com/akilli-telefonlar/alcatel-onetouch-go-play.html
BlackBerry Z10,,4.2 İnç,16 GB,2 GB,1800 mAh,20.0,https://www.epey.com/akilli-telefonlar/blackberry-z10.html
Samsung Galaxy S4 Mini Duos,,4.3 İnç,8 GB,1.5 GB,1900 mAh,20.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s4-mini-duos.html
Lenovo A6010,,5.0 İnç,8 GB,1 GB,2300 mAh,20.0,https://www.epey.com/akilli-telefonlar/lenovo-a6010.html
Turkcell T70,1214.4,5.2 İnç,16 GB,2 GB,2540 mAh,20.0,https://www.epey.com/akilli-telefonlar/turkcell-t70.html
BlackBerry Leap,,5.0 İnç,16 GB,2 GB,2800 mAh,20.0,https://www.epey.com/akilli-telefonlar/blackberry-leap.html
Samsung Galaxy J2 Prime,,5.0 İnç,8 GB,1.5 GB,2600 mAh,19.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j2-prime.html
Vodafone Smart 4 max,,6.0 İnç,8 GB,1 GB,3000 mAh,19.0,https://www.epey.com/akilli-telefonlar/vodafone-smart-4-max.html
Samsung Galaxy Mega 2,,6.0 İnç,16 GB,1.5 GB,2800 mAh,19.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-mega-2.html
Prestigio MultiPhone 5508 DUO,,5.0 İnç,16 GB,1 GB,2300 mAh,19.0,https://www.epey.com/akilli-telefonlar/prestigio-multiphone-5508-duo.html
LG Magna,,5.0 İnç,8 GB,1 GB,2540 mAh,19.0,https://www.epey.com/akilli-telefonlar/lg-magna.html
Avea inTouch 4,,5.0 İnç,8 GB,1 GB,2100 mAh,19.0,https://www.epey.com/akilli-telefonlar/avea-intouch-4.html
Apple iPhone 5,,4.0 İnç,16 GB,1 GB,1440 mAh,19.0,https://www.epey.com/akilli-telefonlar/apple-iphone-5.html
Lenovo S850,,5.0 İnç,16 GB,1 GB,2000 mAh,19.0,https://www.epey.com/akilli-telefonlar/lenovo-s850.html
Nokia Lumia 820,,4.3 İnç,8 GB,1 GB,1650 mAh,19.0,https://www.epey.com/akilli-telefonlar/nokia-lumia-820.html
Samsung Galaxy Grand Prime,,5.0 İnç,8 GB,1 GB,2600 mAh,19.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-grand-prime.html
HTC One X,,4.7 İnç,16 GB,1 GB,1800 mAh,19.0,https://www.epey.com/akilli-telefonlar/htc-one-x.html
HTC Desire 610,,4.7 İnç,8 GB,1 GB,2040 mAh,19.0,https://www.epey.com/akilli-telefonlar/htc-desire-610.html
Vestel Venus V3 5040,1039.9,5.0 İnç,16 GB,1 GB,2100 mAh,19.0,https://www.epey.com/akilli-telefonlar/vestel-venus-v3-5040.html
Samsung Galaxy Grand Prime+ (Plus),,5.0 İnç,8 GB,1.5 GB,2600 mAh,19.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-grand-prime-plus.html
Vestel Venus V3 5010,,5.0 İnç,8 GB,1 GB,2250 mAh,19.0,https://www.epey.com/akilli-telefonlar/vestel-venus-v3-5010.html
Dark Evo X5,,5.0 İnç,16 GB,1 GB,2000 mAh,19.0,https://www.epey.com/akilli-telefonlar/dark-evo-x5.html
ZTE Blade X5,,5.0 İnç,8 GB,1 GB,2400 mAh,19.0,https://www.epey.com/akilli-telefonlar/zte-blade-x5.html
Lenovo A916,,5.5 İnç,8 GB,1 GB,2500 mAh,19.0,https://www.epey.com/akilli-telefonlar/lenovo-a916.html
Apple iPhone 5c,,4.0 İnç,16 GB,1 GB,1510 mAh,19.0,https://www.epey.com/akilli-telefonlar/apple-iphone-5c.html
Apple iPhone 4s,,3.5 İnç,32 GB,512 MB,1432 mAh,19.0,https://www.epey.com/akilli-telefonlar/apple-iphone-4s-32gb.html
Teknosa Preo P1,,5.0 İnç,8 GB,1 GB,2400 mAh,19.0,https://www.epey.com/akilli-telefonlar/teknosa-preo-p1.html
HTC Accord Windows Phone 8X,,4.3 İnç,16 GB,1 GB,1800 mAh,19.0,https://www.epey.com/akilli-telefonlar/htc-windows-phone-8x.html
Samsung Galaxy Grand Prime,,5.0 İnç,8 GB,1 GB,2600 mAh,19.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-grand-prime-value-edition.html
Samsung Galaxy Grand Prime+ (Plus),1499.0,5.0 İnç,8 GB,1.5 GB,2600 mAh,19.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-grand-prime-plus-dual-sim.html
HTC One S,,4.3 İnç,16 GB,1 GB,1650 mAh,19.0,https://www.epey.com/akilli-telefonlar/htc-one-s.html
Alcatel U5 HD,1386.13,5.0 İnç,8 GB,1 GB,2200 mAh,18.0,https://www.epey.com/akilli-telefonlar/alcatel-u5-hd.html
ZTE Blade V2,,5.0 İnç,8 GB,1 GB,2400 mAh,18.0,https://www.epey.com/akilli-telefonlar/zte-blade-v2.html
Samsung Galaxy J2,,4.7 İnç,8 GB,1 GB,2000 mAh,18.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j2.html
Sony Xperia SP,,4.6 İnç,8 GB,1 GB,2370 mAh,18.0,https://www.epey.com/akilli-telefonlar/sony-xperia-sp.html
Quatro Mobile S1453,,5.5 İnç,8 GB,1 GB,1800 mAh,18.0,https://www.epey.com/akilli-telefonlar/quatro-mobile-s1453.html
Turkcell Turbo T50,,5.0 İnç,16 GB,1 GB,2300 mAh,18.0,https://www.epey.com/akilli-telefonlar/turkcell-turbo-t50.html
Vestel Venus 5000,,5.0 İnç,16 GB,1 GB,2230 mAh,18.0,https://www.epey.com/akilli-telefonlar/vestel-venus-5000-1gb.html
ZTE Blade X7,,5.0 İnç,8 GB,1 GB,2200 mAh,18.0,https://www.epey.com/akilli-telefonlar/zte-blade-x7.html
General Mobile Discovery,,4.7 İnç,16 GB,1 GB,1800 mAh,18.0,https://www.epey.com/akilli-telefonlar/general-mobile-discovery-16gb.html
Prestigio MultiPhone 7600 DUO,,6.0 İnç,4 GB,1 GB,2600 mAh,18.0,https://www.epey.com/akilli-telefonlar/prestigio-multiphone-7600-duo.html
Samsung Galaxy Nexus,,4.65 İnç,16 GB,1 GB,1750 mAh,18.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-nexus.html
Turkcell T50,,5.0 İnç,16 GB,1 GB,2300 mAh,18.0,https://www.epey.com/akilli-telefonlar/turkcell-t50.html
HTC Desire 526G+ dual sim,,4.7 İnç,16 GB,1 GB,2000 mAh,18.0,https://www.epey.com/akilli-telefonlar/htc-desire-526g-plus-dual-sim.html
Sony Xperia M2,,4.8 İnç,8 GB,1 GB,2330 mAh,18.0,https://www.epey.com/akilli-telefonlar/sony-xperia-m2.html
Samsung Galaxy J2 Duos,,4.7 İnç,8 GB,1 GB,2000 mAh,18.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j2-sm-j200f-ds.html
LG G2 Mini,,4.7 İnç,8 GB,1 GB,2440 mAh,18.0,https://www.epey.com/akilli-telefonlar/lg-g2-mini.html
Samsung Galaxy J2 Duos,,4.7 İnç,8 GB,1 GB,2000 mAh,18.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j2-sm-j200h.html
Samsung Galaxy S2,,4.3 İnç,16 GB,1 GB,1650 mAh,18.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s2.html
TP-LINK Neffos Y5,,5.0 İnç,16 GB,2 GB,2130 mAh,18.0,https://www.epey.com/akilli-telefonlar/tp-link-neffos-y5.html
LG G3 Stylus,,5.5 İnç,8 GB,1 GB,3000 mAh,18.0,https://www.epey.com/akilli-telefonlar/lg-g3-stylus-d690.html
ZTE Blade A506,,5.2 İnç,16 GB,2 GB,2530 mAh,18.0,https://www.epey.com/akilli-telefonlar/zte-blade-a506-2gb.html
LG G3 Stylus,,5.5 İnç,8 GB,1 GB,3000 mAh,18.0,https://www.epey.com/akilli-telefonlar/lg-g3-stylus.html
Reeder P9C,,5.0 İnç,16 GB,1 GB,2000 mAh,18.0,https://www.epey.com/akilli-telefonlar/reeder-p9c.html
Lenovo A6000,,5.0 İnç,8 GB,1 GB,2300 mAh,18.0,https://www.epey.com/akilli-telefonlar/lenovo-a6000.html
LG K8,,5.0 İnç,8 GB,1.5 GB,2125 mAh,18.0,https://www.epey.com/akilli-telefonlar/lg-k8.html
Türk Telekom K8,,5.0 İnç,8 GB,1.5 GB,2125 mAh,18.0,https://www.epey.com/akilli-telefonlar/turk-telekom-k8.html
Casper VIA V3,,5.0 İnç,8 GB,1 GB,2800 mAh,18.0,https://www.epey.com/akilli-telefonlar/casper-via-v3.html
